"","MR2","MR1","MR3","MR4"
"safetystrsa_1_rev",-0.0038968919889731,0.689616686613976,0.047176390270471,0.0596770031138119
"safetystrsa_2_rev",-0.0164537723288213,0.698597231389122,0.0410589799601108,0.0699019305096607
"safetystrsa_3_rev",0.464886212433806,0.452171100324234,0.0415482436804263,-0.022007321448168
"safetystrsa_4_rev",0.873027642993404,-0.0616945668231837,0.0573245596506224,-0.00460832439984401
"safetystrsa_5_rev",0.695100065251426,0.194469714799042,0.0473318793759538,-0.0429972710298979
"safetystrsb_1_rev",0.507364248209093,0.0821288669819554,-0.0486683134231315,0.370949308597072
"safetystrsb_2_rev",0.010708548959683,0.0349028997942381,0.0456066379252735,0.89885320305596
"safetystrsb_3_rev",0.673869179404852,-0.0251605827024121,-0.0106880919889556,0.17182190112334
"safetystrsb_4_rev",0.27548626402854,0.160943704545061,0.312652603602555,0.0409672412333492
"safetystrsb_5_rev",-0.00402385285826775,-0.00425119706444995,0.997319836369456,0.0109756050326196
